iter	Passed	Remaining
0	48	48053
1	48	24170
2	48	16198
3	49	12207
4	49	9807
5	49	8211
6	49	7071
7	50	6221
8	50	5555
9	50	5020
10	50	4583
11	51	4220
12	51	3914
13	51	3651
14	52	3424
15	52	3223
16	52	3045
17	52	2887
18	53	2746
19	53	2618
20	53	2502
21	53	2398
22	54	2302
23	54	2214
24	54	2132
25	54	2057
26	55	1989
27	55	1925
28	55	1866
29	55	1810
30	56	1758
31	56	1709
32	56	1662
33	57	1619
34	57	1578
35	57	1540
36	57	1504
37	58	1470
38	58	1437
39	58	1406
40	58	1376
41	59	1348
42	59	1322
43	59	1297
44	59	1273
45	60	1249
46	60	1226
47	60	1205
48	61	1185
49	61	1165
50	61	1146
51	61	1128
52	62	1110
53	62	1093
54	62	1076
55	62	1060
56	63	1045
57	63	1030
58	63	1016
59	63	1002
60	64	989
61	64	976
62	64	964
63	65	951
64	65	939
65	65	928
66	65	917
67	66	905
68	66	895
69	66	884
70	66	874
71	67	864
72	67	855
73	67	846
74	67	837
75	68	828
76	68	819
77	68	811
78	68	803
79	69	795
80	69	787
81	69	780
82	69	772
83	70	765
84	70	758
85	70	751
86	70	744
87	71	737
88	71	730
89	71	724
90	71	718
91	72	711
92	72	706
93	72	700
94	72	695
95	73	689
96	73	683
97	73	678
98	73	673
99	74	667
100	74	662
101	74	657
102	74	652
103	75	647
104	75	643
105	75	638
106	75	633
107	76	629
108	76	624
109	76	620
110	76	615
111	77	611
112	77	607
113	77	603
114	77	599
115	78	595
116	78	591
117	78	587
118	78	583
119	79	579
120	79	576
121	79	572
122	79	568
123	80	565
124	80	561
125	80	558
126	80	555
127	80	551
128	81	548
129	81	544
130	81	541
131	81	538
132	82	535
133	82	532
134	82	529
135	82	525
136	82	522
137	83	519
138	83	517
139	83	514
140	83	511
141	84	508
142	84	506
143	84	503
144	85	501
145	85	498
146	85	496
147	85	493
148	86	491
149	86	488
150	86	486
151	86	483
152	86	481
153	87	478
154	87	476
155	87	474
156	87	472
157	88	470
158	88	467
159	88	465
160	88	463
161	89	461
162	89	459
163	89	457
164	90	455
165	90	453
166	90	451
167	90	449
168	91	447
169	91	445
170	91	443
171	91	441
172	92	439
173	92	437
174	92	436
175	92	434
176	92	432
177	93	430
178	93	428
179	93	426
180	93	425
181	94	423
182	94	421
183	94	419
184	94	418
185	95	416
186	95	414
187	95	412
188	95	411
189	96	409
190	96	407
191	96	406
192	96	404
193	97	403
194	97	401
195	97	400
196	97	398
197	98	396
198	98	395
199	98	393
200	98	392
201	98	390
202	99	389
203	99	387
204	99	386
205	99	385
206	100	383
207	100	382
208	100	380
209	100	379
210	101	378
211	101	376
212	101	375
213	101	374
214	102	372
215	102	371
216	102	370
217	102	368
218	103	367
219	103	366
220	103	364
221	103	363
222	103	362
223	104	360
224	104	359
225	104	358
226	104	357
227	105	356
228	105	355
229	105	353
230	105	352
231	106	351
232	106	350
233	106	349
234	106	348
235	107	346
236	107	345
237	107	344
238	107	343
239	108	342
240	108	341
241	108	340
242	108	339
243	109	337
244	109	336
245	109	335
246	109	334
247	110	333
248	110	332
249	110	331
250	110	330
251	111	329
252	111	328
253	111	327
254	111	326
255	112	325
256	112	324
257	112	324
258	112	323
259	113	322
260	113	321
261	113	320
262	113	319
263	114	318
264	114	317
265	114	316
266	114	315
267	115	314
268	115	313
269	115	312
270	115	311
271	116	311
272	116	310
273	116	309
274	116	308
275	117	307
276	117	306
277	117	305
278	118	304
279	118	304
280	118	303
281	118	302
282	118	301
283	119	300
284	119	299
285	119	298
286	119	297
287	120	297
288	120	296
289	120	295
290	120	294
291	121	293
292	121	292
293	121	291
294	121	291
295	122	290
296	122	289
297	122	288
298	122	287
299	123	287
300	123	286
301	123	285
302	123	284
303	124	283
304	124	283
305	124	282
306	124	281
307	124	280
308	125	279
309	125	279
310	125	278
311	125	277
312	126	276
313	126	276
314	126	275
315	127	274
316	127	274
317	127	273
318	127	272
319	127	271
320	128	271
321	128	270
322	128	269
323	128	269
324	129	268
325	129	267
326	129	266
327	129	266
328	130	265
329	130	264
330	130	264
331	130	263
332	131	262
333	131	262
334	131	261
335	131	260
336	132	260
337	132	259
338	132	258
339	132	257
340	133	257
341	133	256
342	133	255
343	133	255
344	134	254
345	134	254
346	134	253
347	134	252
348	135	252
349	135	251
350	135	250
351	135	250
352	136	249
353	136	248
354	136	248
355	136	247
356	137	246
357	137	246
358	137	245
359	137	245
360	138	244
361	138	243
362	138	243
363	138	242
364	139	242
365	139	241
366	139	241
367	140	240
368	140	239
