iter	RMSE
0	15.24582318
1	15.1490764
2	15.07222089
3	14.96276424
4	14.86086215
5	14.76151401
6	14.68956942
7	14.60583439
8	14.52694781
9	14.45570474
10	14.39973094
11	14.33936472
12	14.29081876
13	14.22989388
14	14.16958877
15	14.1292453
16	14.07609839
17	14.0369239
18	13.99613752
19	13.94571223
20	13.90621864
21	13.86745024
22	13.83070515
23	13.80731603
24	13.76986266
25	13.7343222
26	13.69732652
27	13.66652454
28	13.64049259
29	13.61344056
30	13.58302288
31	13.55366272
32	13.52749528
33	13.50313846
34	13.48001288
35	13.46858387
36	13.44978767
37	13.44157091
38	13.42774409
39	13.41591233
40	13.39971303
41	13.3837876
42	13.36314701
43	13.34166158
44	13.33023746
45	13.32173207
46	13.30983367
47	13.29376273
48	13.27610176
49	13.25521571
50	13.24291803
51	13.22329793
52	13.20783463
53	13.1899053
54	13.17693562
55	13.16111783
56	13.15025435
57	13.1353913
58	13.12060882
59	13.10504612
60	13.0948989
61	13.0826577
62	13.07350022
63	13.06988382
64	13.05894432
65	13.05146122
66	13.0491482
67	13.03808635
68	13.03398024
69	13.02224434
70	13.01442472
71	13.00568222
72	12.99563179
73	12.99028882
74	12.98130941
75	12.97290455
76	12.96603232
77	12.96173743
78	12.9493593
79	12.9417444
80	12.93246291
81	12.92495698
82	12.91728985
83	12.90865224
84	12.90327652
85	12.89499614
86	12.89298622
87	12.88766171
88	12.88649093
89	12.88038463
90	12.87245471
91	12.86643425
92	12.86398824
93	12.85948304
94	12.85882144
95	12.85133697
96	12.85078941
97	12.85043369
98	12.84245364
99	12.83481215
100	12.82822471
101	12.82098264
102	12.81590641
103	12.80777023
104	12.80168879
105	12.7945533
106	12.79165115
107	12.78535764
108	12.77862564
109	12.77256991
110	12.76683669
111	12.76020422
112	12.75771823
113	12.75152977
114	12.74705375
115	12.74233065
116	12.73573303
117	12.73424776
118	12.73354188
119	12.72726899
120	12.7213383
121	12.72114033
122	12.72038513
123	12.71785065
124	12.71302684
125	12.71265029
126	12.70718853
127	12.7035537
128	12.69970437
129	12.6992485
130	12.6954305
131	12.69149452
132	12.69101412
133	12.68990789
134	12.68965968
135	12.68233885
136	12.67892767
137	12.67807761
138	12.67621618
139	12.67567083
140	12.66938153
141	12.66772436
142	12.66107647
143	12.65501487
144	12.65432632
145	12.65417775
146	12.64989341
147	12.64485519
148	12.63993636
149	12.638248
150	12.63815711
151	12.63591525
152	12.63418037
153	12.63249566
154	12.62767028
155	12.6210946
156	12.61476593
157	12.61289777
158	12.61034779
159	12.60814022
160	12.60805085
161	12.60506831
162	12.59954146
163	12.59756206
164	12.5950372
165	12.58918569
166	12.58508034
167	12.58040608
168	12.57694005
169	12.57551599
170	12.57306003
171	12.56837807
172	12.56321543
173	12.56014706
174	12.55566787
175	12.55099327
176	12.54796491
177	12.54298212
178	12.53808769
179	12.53588176
180	12.53243826
181	12.52958411
182	12.52637272
183	12.5242952
184	12.52352106
185	12.51852917
186	12.516342
187	12.51447452
188	12.51203562
189	12.50916832
190	12.5074968
191	12.50436318
192	12.50119212
193	12.49871717
194	12.49437306
195	12.49115163
196	12.48877278
197	12.48634904
198	12.48276322
199	12.48055844
200	12.47725948
201	12.47506302
202	12.47199941
203	12.47019387
204	12.46710137
205	12.46380467
206	12.46110875
207	12.4610003
208	12.45848383
209	12.45607081
210	12.45602546
211	12.45246157
212	12.44963473
213	12.44648308
214	12.44490762
215	12.4413678
216	12.43931217
217	12.43557728
218	12.4323062
219	12.42979763
220	12.42677282
221	12.42406627
222	12.41828116
223	12.41572625
224	12.41343721
225	12.41157466
226	12.40936045
227	12.40743485
228	12.40419806
229	12.39894798
230	12.39607209
231	12.39120162
232	12.3889124
233	12.38628114
234	12.38441232
235	12.38204966
236	12.37965945
237	12.37707642
238	12.37526012
239	12.3732168
240	12.37120956
241	12.36937024
242	12.36801124
243	12.36618372
244	12.36456705
245	12.3627398
246	12.3610135
247	12.35928562
248	12.35682588
249	12.35353966
250	12.35144427
251	12.3496989
252	12.34746263
253	12.34570302
254	12.34214914
255	12.34043274
256	12.33845452
257	12.33662513
258	12.33463334
259	12.33305148
260	12.33169506
261	12.33063792
262	12.32821353
263	12.3258766
264	12.32445574
265	12.32322122
266	12.32178132
267	12.32057733
268	12.3193925
269	12.31766752
270	12.31523724
271	12.31347246
272	12.31095836
273	12.30758314
274	12.30491517
275	12.30361715
276	12.30238319
277	12.30045135
278	12.29783425
279	12.29554873
280	12.29340601
281	12.29210342
282	12.28939961
283	12.28766155
284	12.28483165
285	12.28393368
286	12.28268635
287	12.28026824
288	12.2794527
289	12.27796575
290	12.27539459
291	12.27446703
292	12.27315821
293	12.27209097
294	12.27005632
295	12.26828773
296	12.26704962
297	12.26403624
298	12.26176266
299	12.25917173
300	12.25714665
301	12.25553979
302	12.25307553
303	12.25173686
304	12.25038833
305	12.24949064
306	12.24878468
307	12.24617229
308	12.24513157
309	12.2441851
310	12.24263045
311	12.24217309
312	12.24050958
313	12.23981327
314	12.23831227
315	12.23743813
316	12.23648006
317	12.23575101
318	12.23533839
319	12.23396911
320	12.23168967
321	12.230228
322	12.22921173
323	12.22849476
324	12.22737026
325	12.22642354
326	12.22527025
327	12.22385415
328	12.22310409
329	12.22146153
330	12.22044112
331	12.21919304
332	12.2181947
333	12.21693246
334	12.21486801
335	12.21387644
336	12.21273039
337	12.21149023
338	12.2102996
339	12.20958049
340	12.20776385
341	12.2067582
342	12.20544705
343	12.20345692
344	12.20282295
345	12.20139655
346	12.19946223
347	12.19778253
348	12.19552007
349	12.1947768
350	12.19391314
351	12.19159437
352	12.19064935
353	12.18889391
354	12.18797839
355	12.1869884
356	12.18585705
357	12.18468523
358	12.18297162
359	12.18186625
360	12.18137266
361	12.18056628
362	12.17969205
363	12.17848045
364	12.17700279
365	12.17659759
366	12.17570336
367	12.17379062
368	12.17251586
369	12.17170201
370	12.17018638
371	12.16968202
372	12.16898362
373	12.16798271
374	12.16719523
375	12.16644141
376	12.16539506
377	12.16470207
378	12.1623131
379	12.16039208
380	12.15974174
381	12.15928727
382	12.1581624
383	12.15742892
384	12.15699817
385	12.15580639
386	12.15529773
387	12.1543407
388	12.15394668
389	12.15353904
390	12.15254012
391	12.15212461
392	12.15111543
393	12.15045834
394	12.14982373
395	12.14942809
396	12.14866018
397	12.14742473
398	12.14653281
399	12.14497334
400	12.14424742
401	12.14393647
402	12.14308496
403	12.1418031
404	12.14152503
405	12.14125181
406	12.14076133
407	12.14010117
408	12.13975812
409	12.13865178
410	12.13793999
411	12.13704281
412	12.13520581
413	12.13395121
414	12.13186345
415	12.13145889
416	12.13057495
417	12.13025222
418	12.12942816
419	12.1283545
420	12.12791524
421	12.12703037
422	12.12593696
423	12.12449846
424	12.12316354
425	12.12203804
426	12.12129585
427	12.12078004
428	12.12041707
429	12.11917295
430	12.11868043
431	12.11800709
432	12.11732873
433	12.11681619
434	12.11604708
435	12.11543502
436	12.1143325
437	12.11386683
438	12.11346065
439	12.11296255
440	12.11235459
441	12.11183223
442	12.11143041
443	12.1104897
444	12.1099672
445	12.10885935
446	12.10859896
447	12.10727482
448	12.10659193
449	12.10522465
450	12.10416253
451	12.10364089
452	12.10323307
