iter	Passed	Remaining
0	46	46130
1	46	23144
2	46	15476
3	46	11661
4	47	9370
5	47	7845
6	47	6743
7	47	5930
8	48	5295
9	48	4784
10	48	4363
11	48	4020
12	49	3725
13	49	3474
14	49	3256
15	49	3060
16	50	2892
17	50	2737
18	50	2604
19	50	2485
20	50	2376
21	51	2277
22	51	2185
23	51	2099
24	51	2022
25	52	1953
26	52	1887
27	52	1827
28	52	1769
29	53	1720
30	53	1670
31	53	1624
32	53	1580
33	54	1538
34	54	1499
35	54	1460
36	54	1426
37	54	1390
38	55	1358
39	55	1326
40	55	1298
41	55	1270
42	55	1244
43	56	1220
44	56	1197
45	56	1174
46	56	1152
47	57	1132
48	57	1112
49	57	1094
50	57	1076
51	58	1058
52	58	1041
53	58	1026
54	58	1010
55	59	995
56	59	980
57	59	966
58	59	953
59	60	941
60	60	928
61	60	916
62	60	904
63	60	891
64	61	880
65	61	869
66	61	857
67	61	847
68	62	837
69	62	827
70	62	817
71	62	808
72	62	799
73	63	790
74	63	781
75	63	773
76	63	766
77	64	757
78	64	749
79	64	742
80	64	734
81	65	727
82	65	720
83	65	713
84	65	707
85	65	700
86	66	693
87	66	687
88	66	680
89	66	674
90	66	668
91	67	662
92	67	656
93	67	650
94	67	644
95	67	638
96	67	632
97	68	626
98	68	621
99	68	616
100	68	611
101	68	606
102	69	602
103	69	597
104	69	593
105	69	589
106	70	584
107	70	580
108	70	576
109	70	572
110	70	568
111	71	564
112	71	560
113	71	556
114	71	553
115	72	549
116	72	546
117	72	542
118	72	538
119	72	534
120	73	531
121	73	527
122	73	523
123	73	520
124	73	517
125	73	513
126	74	510
127	74	507
128	74	504
129	74	500
130	75	497
131	75	494
132	75	491
133	75	489
134	75	485
135	76	483
136	76	480
137	76	477
138	76	474
139	76	471
140	76	468
141	77	466
142	77	463
143	77	461
144	77	458
145	77	455
146	78	453
147	78	450
148	78	448
149	78	446
150	78	443
151	79	441
152	79	439
153	79	436
154	79	434
155	79	432
156	80	430
157	80	428
158	80	426
159	80	424
160	80	421
161	81	419
162	81	417
163	81	415
164	81	413
165	82	412
166	82	410
167	82	408
168	82	406
169	82	404
170	83	402
171	83	401
172	83	399
173	83	397
174	84	396
175	84	394
176	84	392
177	84	391
178	84	389
179	85	387
180	85	386
181	85	384
182	85	383
183	86	381
184	86	379
185	86	378
186	86	376
187	86	375
188	87	373
189	87	372
190	87	371
191	87	369
192	88	368
193	88	367
194	88	365
195	88	364
196	89	363
197	89	361
198	89	360
199	89	358
200	89	357
201	90	356
202	90	355
203	90	353
204	90	352
205	91	351
206	91	350
207	91	348
208	91	347
209	91	345
210	92	344
211	92	343
212	92	341
213	92	340
214	93	339
215	93	338
216	93	337
217	93	336
218	94	335
219	94	334
220	94	332
221	94	331
222	94	330
223	95	329
224	95	328
225	95	327
226	95	326
227	95	324
228	96	323
229	96	322
230	96	321
231	96	320
232	97	319
233	97	318
234	97	317
235	97	316
236	97	315
237	98	314
238	98	313
239	98	312
240	98	311
241	99	310
242	99	309
243	99	308
244	99	307
245	99	306
246	100	305
247	100	304
248	100	303
249	100	302
250	101	301
251	101	300
252	101	299
253	101	298
254	101	297
255	102	297
256	102	296
257	102	295
258	102	294
259	103	293
260	103	292
261	103	291
262	103	290
263	104	290
264	104	289
265	104	288
266	104	288
267	105	287
268	105	286
269	105	285
270	105	284
271	106	284
272	106	283
273	106	282
274	106	281
275	107	280
276	107	280
277	107	279
278	107	278
279	108	277
280	108	276
281	108	276
282	108	275
283	108	274
284	109	273
285	109	273
286	109	272
287	109	271
288	110	270
289	110	269
290	110	269
291	110	268
292	110	267
293	111	266
294	111	266
295	111	265
296	111	264
297	112	263
298	112	263
299	112	262
300	112	261
301	112	260
302	113	260
303	113	259
304	113	258
305	113	258
306	114	257
307	114	256
308	114	255
309	114	255
310	114	254
311	115	253
312	115	253
313	115	252
314	115	251
315	116	251
316	116	250
317	116	249
318	116	249
319	116	248
320	117	247
321	117	247
322	117	246
323	117	245
324	118	245
325	118	244
326	118	243
327	118	243
328	119	242
329	119	242
330	119	241
331	119	240
332	119	240
333	120	239
334	120	239
335	120	238
336	120	237
337	121	237
338	121	236
339	121	236
340	121	235
341	122	235
342	122	234
343	122	233
344	122	233
345	123	232
346	123	232
347	123	231
348	123	231
349	124	230
350	124	230
351	124	229
352	124	229
353	125	228
354	125	227
355	125	227
356	125	226
357	126	226
358	126	225
359	126	225
360	126	224
361	127	224
362	127	223
363	127	223
364	127	222
365	128	221
366	128	221
367	128	220
368	128	220
369	129	219
370	129	219
371	129	218
372	129	218
373	130	217
374	130	217
375	130	216
376	130	216
377	131	215
378	131	215
379	131	214
380	131	214
381	132	213
382	132	213
383	132	212
384	132	212
385	133	211
386	133	211
387	133	210
388	134	211
389	134	210
390	135	210
391	135	209
392	135	209
393	135	209
394	136	208
395	136	208
396	136	207
397	136	207
398	137	206
399	137	206
400	137	205
401	137	205
402	138	204
403	138	203
404	138	203
405	138	202
406	138	202
407	139	201
408	139	201
409	139	200
410	139	200
411	139	199
412	140	199
413	140	198
414	140	198
415	140	197
416	141	197
417	141	196
418	141	196
419	141	195
420	141	195
421	142	194
422	142	194
423	142	193
424	142	193
425	143	192
426	143	192
427	143	191
428	143	191
429	144	190
430	144	190
431	144	189
432	144	189
433	144	188
434	145	188
435	145	188
436	145	187
437	145	187
438	146	186
439	146	186
440	146	185
441	146	185
442	146	184
443	147	184
444	147	183
445	147	183
446	147	182
447	148	182
448	148	182
449	148	181
450	148	181
451	149	180
452	149	180
453	149	179
454	149	179
455	150	179
456	150	178
457	150	178
458	150	177
459	150	177
460	151	176
461	151	176
462	151	175
463	151	175
464	152	175
465	152	174
466	152	174
467	152	173
468	153	173
469	153	172
470	153	172
471	153	171
472	153	171
473	154	170
474	154	170
475	154	170
476	154	169
477	154	169
478	155	168
479	155	168
480	155	167
481	155	167
482	156	167
483	156	166
484	156	166
485	156	165
486	156	165
487	157	164
488	157	164
